Package,APK_Path,Source,Type,Category,Flags
android,/system/framework/framework-res.apk,system,framework,other,
android.auto_generated_rro_product__,/product/overlay/framework-res__fogo_g__auto_generated_rro_product.apk,product,overlay,other,overlay
android.auto_generated_rro_vendor__,/vendor/overlay/framework-res__auto_generated_rro_vendor.apk,vendor,overlay,other,overlay
cci.usage,/product/priv-app/myCC/myCC.apk,product,priv-app,other,privileged
com.amazon.appmanager,/product/priv-app/AmazonAppManager/AmazonAppManager.apk,product,priv-app,other,privileged
com.android.avatarpicker,/system/priv-app/AvatarPicker/AvatarPicker.apk,system,priv-app,core,privileged
com.android.backupconfirm,/system/priv-app/BackupRestoreConfirmation/BackupRestoreConfirmation.apk,system,priv-app,core,privileged
com.android.bips,/system/priv-app/BuiltInPrintService/BuiltInPrintService.apk,system,priv-app,core,privileged
com.android.bluetooth,/apex/com.android.btservices/app/Bluetooth@V1UFN35M.193-20/Bluetooth.apk,apex,app,core,
com.android.bluetoothmidiservice,/system/app/BluetoothMidiService/BluetoothMidiService.apk,system,app,core,
com.android.bookmarkprovider,/system/app/BookmarkProvider/BookmarkProvider.apk,system,app,core,
com.android.calllogbackup,/system/priv-app/CallLogBackup/CallLogBackup.apk,system,priv-app,core,privileged
com.android.cameraextensions,/system/app/CameraExtensionsProxy/CameraExtensionsProxy.apk,system,app,camera,
com.android.carrierconfig,/system_ext/priv-app/CarrierConfig/CarrierConfig.apk,system,priv-app,core,privileged
com.android.carrierdefaultapp,/system/app/CarrierDefaultApp/CarrierDefaultApp.apk,system,app,core,
com.android.cellbroadcast.overlay,/product/overlay/MotoCellBroadcastReceiverOverlay.apk,product,overlay,core,overlay
com.android.cellbroadcastreceiver,/system/priv-app/CellBroadcastLegacyApp/CellBroadcastLegacyApp.apk,system,priv-app,core,privileged
com.android.cellbroadcastservice.overlay,/product/overlay/MotoCellBroadcastServiceOverlay.apk,product,overlay,core,overlay
com.android.certinstaller,/system/app/CertInstaller/CertInstaller.apk,system,app,core,
com.android.companiondevicemanager,/system/app/CompanionDeviceManager/CompanionDeviceManager.apk,system,app,core,
com.android.contacts,/product/priv-app/Contacts/Contacts.apk,product,priv-app,core,privileged
com.android.credentialmanager,/system/priv-app/CredentialManager/CredentialManager.apk,system,priv-app,core,privileged
com.android.cts.ctsshim,/apex/com.android.apex.cts.shim/app/CtsShim@MAIN/CtsShim.apk,apex,app,core,
com.android.cts.priv.ctsshim,/apex/com.android.apex.cts.shim/priv-app/CtsShimPriv@MAIN/CtsShimPriv.apk,apex,priv-app,core,privileged
com.android.DeviceAsWebcam,/system/priv-app/DeviceAsWebcam/DeviceAsWebcam.apk,system,priv-app,core,privileged
com.android.devicediagnostics,/system/priv-app/DeviceDiagnostics/DeviceDiagnostics.apk,system,priv-app,core,privileged
com.android.dialer,/product/priv-app/Dialer/Dialer.apk,product,priv-app,core,privileged
com.android.dreams.basic,/system/app/BasicDreams/BasicDreams.apk,system,app,core,
com.android.dynsystem,/system/priv-app/DynamicSystemInstallationService/DynamicSystemInstallationService.apk,system,priv-app,core,privileged
com.android.egg,/system/app/EasterEgg/EasterEgg.apk,system,app,core,
com.android.emergency,/system_ext/priv-app/EmergencyInfoGms/EmergencyInfoGms.apk,system,priv-app,core,privileged
com.android.externalstorage,/system/priv-app/ExternalStorageProvider/ExternalStorageProvider.apk,system,priv-app,core,privileged
com.android.hotwordenrollment.okgoogle,/product/priv-app/HotwordEnrollmentOKGoogleHEXAGON_WIDEBAND/HotwordEnrollmentOKGoogleHEXAGON_WIDEBAND.apk,product,priv-app,core,privileged
com.android.hotwordenrollment.xgoogle,/product/priv-app/HotwordEnrollmentXGoogleHEXAGON_WIDEBAND/HotwordEnrollmentXGoogleHEXAGON_WIDEBAND.apk,product,priv-app,core,privileged
com.android.htmlviewer,/system/app/HTMLViewer/HTMLViewer.apk,system,app,core,
com.android.imsserviceentitlement,/product/priv-app/ImsServiceEntitlement/ImsServiceEntitlement.apk,product,priv-app,core,privileged
com.android.inputdevices,/system/priv-app/InputDevices/InputDevices.apk,system,priv-app,core,privileged
com.android.intentresolver,/system/priv-app/IntentResolver/IntentResolver.apk,system,priv-app,core,privileged
com.android.internal.display.cutout.emulation.corner,/product/overlay/DisplayCutoutEmulationCorner/DisplayCutoutEmulationCornerOverlay.apk,product,overlay,core,overlay
com.android.internal.display.cutout.emulation.double,/product/overlay/DisplayCutoutEmulationDouble/DisplayCutoutEmulationDoubleOverlay.apk,product,overlay,core,overlay
com.android.internal.display.cutout.emulation.hole,/product/overlay/DisplayCutoutEmulationHole/DisplayCutoutEmulationHoleOverlay.apk,product,overlay,core,overlay
com.android.internal.display.cutout.emulation.noCutout,/product/overlay/DisplayCutoutEmulationNoCutout/DisplayCutoutEmulationNoCutoutOverlay.apk,product,overlay,core,overlay
com.android.internal.display.cutout.emulation.tall,/product/overlay/DisplayCutoutEmulationTall/DisplayCutoutEmulationTallOverlay.apk,product,overlay,core,overlay
com.android.internal.display.cutout.emulation.waterfall,/product/overlay/DisplayCutoutEmulationWaterfall/DisplayCutoutEmulationWaterfallOverlay.apk,product,overlay,core,overlay
com.android.internal.systemui.navbar.gestural,/product/overlay/NavigationBarModeGestural/NavigationBarModeGesturalOverlay.apk,product,overlay,maps,overlay
com.android.internal.systemui.navbar.hidegestural,/product/overlay/NavigationBarModeHideGestural/NavigationBarModeHideGesturalOverlay.apk,product,overlay,maps,overlay
com.android.internal.systemui.navbar.threebutton,/product/overlay/NavigationBarMode3Button/NavigationBarMode3ButtonOverlay.apk,product,overlay,maps,overlay
com.android.internal.systemui.navbar.transparent,/product/overlay/TransparentNavigationBar/TransparentNavigationBarOverlay.apk,product,overlay,maps,overlay
com.android.keychain,/system/app/KeyChain/KeyChain.apk,system,app,core,
com.android.localtransport,/system/priv-app/LocalTransport/LocalTransport.apk,system,priv-app,core,privileged
com.android.location.fused,/system/priv-app/FusedLocation/FusedLocation.apk,system,priv-app,maps,privileged
com.android.managedprovisioning,/system/priv-app/ManagedProvisioning/ManagedProvisioning.apk,system,priv-app,core,privileged
com.android.mms.service,/system/priv-app/MmsService/MmsService.apk,system,priv-app,core,privileged
com.android.mtp,/system/priv-app/MtpService/MtpService.apk,system,priv-app,core,privileged
com.android.nfc,/system_ext/priv-app/NQNfcNci/NQNfcNci.apk,system,priv-app,core,privileged
com.android.ons,/system/priv-app/ONS/ONS.apk,system,priv-app,core,privileged
com.android.pacprocessor,/system/app/PacProcessor/PacProcessor.apk,system,app,core,
com.android.phone,/system/priv-app/TeleService/TeleService.apk,system,priv-app,core,privileged
com.android.phone.overlay.carriersettings,/product/overlay/TeleServiceCarrierSettingsRRO.apk,product,overlay,core,overlay
com.android.phone.overlay.common,/product/overlay/TelephonyResCommonQcomRRO.apk,product,overlay,core,overlay
com.android.phone.overlay.motcommon,/product/overlay/TelephonyResMotCommon.apk,product,overlay,core,overlay
com.android.printspooler,/system/app/PrintSpooler/PrintSpooler.apk,system,app,core,
com.android.providers.blockednumber,/system/priv-app/BlockedNumberProvider/BlockedNumberProvider.apk,system,priv-app,core,privileged
com.android.providers.calendar,/system/priv-app/CalendarProvider/CalendarProvider.apk,system,priv-app,core,privileged
